EDGEID,STARTNODE,ENDNODE,
HHALL01003_HBATH00103,HHALL01003,HBATH00103,
HHALL01203_HHALL01303,HHALL01203,HHALL01303,
HHALL01503_HHALL00603,HHALL01503,HHALL00603,
IHALL00203_IHALL00303,IHALL00203,IHALL00303,
IHALL00603_IHALL00703,IHALL00603,IHALL00703,
IHALL01003_IHALL01103,IHALL01003,IHALL01103,
IHALL01403_IHALL01703,IHALL01403,IHALL01703,
IHALL01903_IHALL02003,IHALL01903,IHALL02003,
IHALL01303_IREST00403,IHALL01303,IREST00403,
IHALL00503_IDEPT00303,IHALL00503,IDEPT00303,
IHALL02203_IDEPT00703,IHALL02203,IDEPT00703,
IHALL01203_WELEV00K03,IHALL01203,WELEV00K03,
WELEV00E01_WELEV00E02,WELEV00E01,WELEV00E02,
WELEV00HL1_WELEV00H02,WELEV00HL1,WELEV00H02,
WELEV00H02_WELEV00H03,WELEV00H02,WELEV00H03,
WELEV00JL2_WELEV00J03,WELEV00JL2,WELEV00J03,
WELEV00J01_WELEV00J02,WELEV00J01,WELEV00J02,
WELEV00KL2_WELEV00K01,WELEV00KL2,WELEV00K01,
WELEV00KL1_WELEV00K02,WELEV00KL1,WELEV00K02,
WELEV00K02_WELEV00K03,WELEV00K02,WELEV00K03,
WELEV00LL2_WELEV00L03,WELEV00LL2,WELEV00L03,
WELEV00L01_WELEV00L02,WELEV00L01,WELEV00L02,
WELEV00ML2_WELEV00M01,WELEV00ML2,WELEV00M01,
WELEV00ML1_WELEV00M02,WELEV00ML1,WELEV00M02,
WELEV00M02_WELEV00M03,WELEV00M02,WELEV00M03,
WHALL00102_WHALL00202,WHALL00102,WHALL00202,
WHALL00902_WHALL01002,WHALL00902,WHALL01002,
GELEV00QL2_GELEV00QL1,GELEV00QL2,GELEV00QL1,
GELEV00QL1_GELEV00Q01,GELEV00QL1,GELEV00Q01,
GELEV00Q01_GELEV00Q03,GELEV00Q01,GELEV00Q03,
AELEV00SL2_AELEV00S03,AELEV00SL2,AELEV00S03,
WHALL00202_DDEPT00402,WHALL00202,DDEPT00402,
